species,iucn_category,area_global,pa_count,pa_quality_mean,mhw_freq,mhw_total_days,mhw_max_int,mhw_mean_int,mhw_cum_int,slope_intensity,slope_freq,slope_cum,slope_max,slope_total,dem_mean,dem_range,order,svl,hll,fll,hl,hw,tl,Exposure,iucn_num,Trait_sensitivity,Sensitivity,Suitability,Risk_index,Risk_level
Adenomus kandianus,EN,2.1753176731473e-05,0.375,0.501519756838906,0.487763713314473,0.577675790538597,0.458046060199809,0.0904796911642175,0.183666149140481,NA,0.371391281042045,0.232986674937662,NA,0.434165712650572,0.265589334586894,0.0423602249532595,Anura,0.0388392364559197,0.109730848861284,NA,0.0451401726713536,0.0484727714417562,0.0193010971149939,0.354521884123482,0.75,0.0522968253090614,0.401148412654531,0.236898213911158,0.108525200483771,High
Adenomus kelaartii,VU,0.000916309717121061,0.625,0.541301865245527,0.435053549792499,0.641616174582035,0.643357940896825,0.138610014416449,0.245556862871347,NA,0.37616959858088,0.20482420600906,NA,0.421602675870383,0.108263807660231,0.201533915098752,Anura,0.0703961160763544,NA,NA,0.0859234150642206,0.0903399694983189,0.0501828524989842,0.388348877877435,0.5,0.0742105882844695,0.287105294142235,0.295403179544326,0.0785604449457907,High
Alcalus baluensis,LC,0.0195605871486695,0.875,0.214277609743604,0.480658558548232,0.279416904722446,0.674643263650218,0.147214139716667,0.116304838938877,NA,0.706911353682052,0.354487183235897,NA,0.634302792321195,0.0985713709699289,0.277568564345289,Anura,0.0415977049542094,NA,0.0523666825102414,0.0802492248182565,0.0813004608270156,0.0328728159284844,0.424242379351948,0,0.0576773778076415,0.0288386889038207,0.296995626441498,0.0086009730892697,Very low
Alcalus mariae,EN,6.41272681861724e-05,0.125,0.738374752248819,0.573839672522393,0.672531417649658,0.594988406188175,0.0679720274160678,0.162560628620976,NA,0.555107368334092,0.276835967718854,NA,0.559188117959666,0.130810036633837,0.0708227961235128,Anura,0.0628930817610063,NA,NA,0.0974491140013351,0.11698273189795,NA,0.432877950801235,0.75,0.0924416425534304,0.421220821276715,0.213014342454871,0.143496765918777,Very high
Alcalus rajae,NT,0.000182071709836971,0.25,0.0137466307277628,0.486357239218923,0.351586252625771,0.612327839623647,0.130549267360024,0.122490628106479,NA,0.641448268988596,0.340992784676006,NA,0.604035792022372,0.139559647410697,0.0938877448712412,Anura,0.0722718746551914,NA,0.0854158160027668,0.120278863819081,0.135061749240556,0.0562779357984559,0.411223509077727,0.25,0.0938612479032104,0.171930623951605,0.0994752189439076,0.0636688260747307,Medium
Allopaa barmoachensis,VU,3.01002693126103e-05,0.125,1,0.621518975919379,0.761713514258142,0.881647907199265,0.641447486767833,0.737562538289584,0.452581313004125,0.351965997599996,0.335403221403593,0.446119899148235,0.394258783679697,0.203004965618781,0.0966411474510746,Anura,0.122917356283791,0.484767820171547,NA,0.182561967690797,0.207377818610983,0.117431938236489,0.562421963726985,0.5,0.223011380198721,0.361505690099361,0.284935242667834,0.145386065567965,Very high
Amolops aniqiaoensis,NT,4.76979157721592e-05,0,1,0.749367099151343,0.584050487039218,0.404795063205989,0.330051540480307,0.334212267362243,0.503937670203681,0.389122173828124,0.333148413350292,0.347097234579798,0.472452013430621,0.48586159672669,0.184323747919455,Anura,0.126227518481739,NA,NA,0.171479564866648,0.170268256697211,0.145672490857375,0.444823396263162,0.25,0.153411957725743,0.201705978862872,0.334046608512383,0.0597516948032109,Medium
Amolops archotaphus,DD,6.86848443937897e-05,0.25,0.252071303037911,0.384810111235268,0.782176320507205,0.723897396354118,0.325764451428038,0.451097256082098,0.490425523108288,0.236323466745114,0.136856499762226,0.274064024745643,0.267187693388217,0.252309959301818,0.0412845849815185,Anura,0.0827540549486925,NA,NA,0.105428444034722,0.122691895269299,0.0904104022754978,0.407260274335621,NA,0.100321199132053,0.100321199132053,0.159146906433128,0.0343545995339487,Medium
Amolops caelumnoctis,LC,1.77388696704435e-05,0.125,1,0.72531646430693,0.478485372044337,0.535008679953319,0.29156650422411,0.27278017735213,0.67795809262649,0.492106715705487,0.436682515586211,0.568309007421667,0.541409874265117,0.344149900808921,0.0663220783802322,Anura,0.163411673838685,0.7874297545105,0.580276004644927,0.233186383791508,0.241727951561936,0.163652986590817,0.50196234034858,0,0.361614125823062,0.180807062911531,0.307097943611765,0.0628866379610134,Medium
Amolops chayuensis,DD,5.4218607823196e-07,0,NA,0.693670935983022,0.56875119865861,0.19232473773073,0.276977610111292,0.323601509435389,0.552878149615854,0.450643307708864,0.384010985578205,0.595487949091815,0.553405059788263,0.750018372903682,0,Anura,0.0879399757254772,NA,NA,0.12537676911819,0.125546476954974,0.0873628606257619,0.459175144370204,NA,0.106556520606101,0.106556520606101,0.18750472877244,0.0397538545380976,Medium
