"species","area_global","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_mean_int","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","Order","X2024.IUCN.Red.List.category","Average.Mass","Clutch_Min","Clutch_Max","Sed","Primary.Habitat","Primary.Diet","HB","Flightlessness","Exposure","IUCN_num","Clutch_mean","Flightless_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Abroscopus albogularis",0.00538183861813066,0.81856833472569,0.780745544885201,0.687206392988722,0.270302021028751,0.310441412299833,0.544022137129821,0.269977775796684,0.438103125007159,0.538468647489051,0.358099930441541,0.208601174541143,NA,"Passeriformes","LC",1.84439348716285e-05,3,5,0,"Forest","Invertebrate",3,"No",0.501593532179245,0,0.157894736842105,0,0.0394782951942442,0.0197391475971221,0.106991506579637,0.00884170278114434,"High"
"Abroscopus schisticeps",0.00291298941851894,0.790640213095627,0.73967320800973,0.512410218664712,0.245128508935831,0.273981469830665,0.449241645819906,0.304911235550066,0.388270553438991,0.484095602987549,0.371821986171149,0.519089159126661,NA,"Passeriformes","LC",2.12814633134174e-05,4,5,0,"Forest","Invertebrate",4,"No",0.456017464250422,0,0.184210526315789,0,0.0460579519447757,0.0230289759723879,0.26100107427259,0.00776068237131244,"Medium"
"Abroscopus superciliaris",0.0073976322994949,0.739907129774594,0.704929183735372,0.693993105874552,0.170669163089313,0.215505178234232,0.451066361419184,0.39848849728943,0.358896749563642,0.498722600181162,0.423395510370252,0.133298247548085,NA,"Passeriformes","LC",7.90961053148682e-05,2,5,0,"Forest","Invertebrate",4,"No",0.465557347953173,0,0.131578947368421,0,0.032914510868434,0.016457255434217,0.0703479399237902,0.00712280461614005,"Medium"
"Acanthis flammea",0.226963885526542,0.800145187978689,0.821832186639542,0.565356764807837,0.672152324802079,0.693061852447052,0.619098197279436,0.173564675910984,0.662897413309678,0.661510566677797,0.300120239734391,0.148523978661295,NA,"Passeriformes","LC",0.000244027445993854,3,7,0,"Plains","Seed",11,"No",0.596973940958748,0,0.210526315789474,0,0.0526925858088669,0.0263462929044334,0.187743932093918,0.0127752042964166,"High"
"Acanthiza cinerea",0.000358624467539372,0.610958954045585,0.418398239334424,0.43156036531289,0.105073827854535,0.0845403776305872,NA,0.590425862123517,0.313688819519927,NA,0.480286200945999,0.480417648442429,NA,"Passeriformes","LC",7.80320321491973e-05,NA,NA,0,"Forest","Invertebrate",1,"No",0.379366580845933,0,NA,0,2.60106773830658e-05,1.30053386915329e-05,0.240388136454984,3.74776607873537e-06,"Very low"
"Acanthiza murina",0.000239505853449734,0.572253621858527,0.380682060901944,0.388396046776915,0.107285094400467,0.0779331132880665,NA,0.560908288946572,0.294505704539743,NA,0.447496698499265,0.55673034146392,NA,"Passeriformes","LC",9.36384385790367e-05,2,2,0,"Forest","Invertebrate",1,"No",0.353682578651437,0,0.0526315789473684,0,0.0131813043464869,0.00659065217324343,0.278484923658685,0.00168185081726955,"Low"
"Acanthoptila nipalensis",9.34697466195118e-05,0.662385642880775,0.77968937322082,0.633122260493308,0.260238026325027,0.32374960450314,0.00681809517698307,0.235749925441598,0.14961305556576,0.192818706222759,0.256403688758071,0.342421997225699,NA,"Passeriformes","LC",0.00121304340886479,3,4,0,"Shrub","Invertebrate",2,"No",0.350058837858824,0,0.131578947368421,0,0.0331979976943215,0.0165989988471607,0.171257733486159,0.00481551156502213,"Low"
"Accipiter badius",0.0695293545388574,0.722292842247907,0.841283385648761,0.80144738682897,0.285757498052815,0.349996969812741,0.37648215002178,0.178291104964064,0.314226852436399,0.42268349644991,0.26939743799825,0.171664172216934,NA,"Accipitriformes","LC",0.00358060620248248,1,7,0,"Woodland","Vertebrate",5,"No",0.45618591244616,0,0.157894736842105,0,0.0403688357611469,0.0201844178805735,0.120596763377896,0.0080974105315473,"Medium"
"Accipiter brevipes",0.0180357254915127,0.763857688143381,0.90933389630705,0.7669533300922,0.404889970973216,0.505563012030311,0.752341710676576,0.236723839667432,0.886938924806279,0.767811320329628,0.48645184003845,0.201597851694795,NA,"Accipitriformes","LC",0.00408072059034779,3,5,0,"Forest","Vertebrate",6,"No",0.648086553306452,0,0.157894736842105,0,0.0404938643581133,0.0202469321790566,0.109816788593154,0.011680774453882,"High"
"Accipiter butleri",9.46977112785287e-07,0.738915520610691,0.833729902979793,0.578463011340906,0.0123467492062575,0.0942702097281787,NA,0.290878785861088,0.239611125664409,NA,0.496001867833411,0.045251380869869,NA,"Accipitriformes","VU",0.00474576631889209,NA,NA,0,"Forest","Vertebrate",1,"No",0.410527146653092,0.5,NA,0,0.00158192210629736,0.250790961053149,0.0226261639234909,0.100626987054774,"Very high"
