"species","IUCN_category","area_global","pa_count","pa_quality_mean","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_intensity","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","order","adult_mass_g","brain_mass_g","trophic_level","det_diet_breadth_n","habitat_breadth_n","activity_cycle","foraging_stratum","fossoriality","hibernation_torpor","max_longevity_d","litter_size_n","litters_per_year_y","generation_length_d","density_n_km2","Exposure","IUCN_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Abditomys latidens","DD",9.3177643267942e-06,0.25,0.787325456498389,0.661463628330427,0.644852780101095,0.439444474979851,0.0871085342539342,0.1257823964978,0.460951380513636,0.259490967318026,0.247782558970101,0.323076721289197,0.341689695474399,0.231984178107871,0.22811053922521,"Rodentia",8.27081199979417e-05,0.000604134960509735,0,0,0,1,"Ar",2,0,782.121999974081,2.02755166666668,2.31851000000001,732.39950333362,1216.00177712076,0.359164313772847,NA,0.000137368616101535,0.000137368616101535,0.299485898319159,3.45618980149775e-05,"Very low"
"Acerodon celebensis","VU",0.0020919448145279,0.875,0.356197327852004,0.821558580194649,0.827566303089468,0.490926040619611,0.0886745573365557,0.184145467945323,0.467100139325748,0.675096324768136,0.378691031676462,0.439504012748766,0.711911693126977,0.145353308814589,0.362870579800611,"Chiroptera",0.000118965903903618,0.000988873153862611,0,0,0.142857142857143,1,"Ar",2,0,4787.68015942764,0.98,1.04373,2363.95593532792,719.159134580195,0.50851741508317,0.5,0.0287929963829818,0.264396498191491,0.348302632256346,0.0876208569543309,"Very high"
"Acerodon humilis","EN",1.09893628265564e-05,0.125,0.571428571428571,0.870414351228921,0.88271092035646,0.481177139277529,0.0317960845480781,0.125064624715345,NA,0.95709107503592,0.405869750013803,NA,1,0.0466291761165329,0.0289438508768712,"Chiroptera",0.000108900680979567,0.000858059587567339,0,0,0,1,"Ar",2,0,4886.84143330717,1.031905,1.949125,1685.58903667871,821.062346564405,0.594265493147007,0.75,0.000193392053709381,0.375096696026855,0.15440251755696,0.188489617503367,"Very high"
"Acerodon jubatus","EN",0.00184085757905821,0.875,0.64632088458635,0.630250363222796,0.672783335224445,0.540691343567759,0.0890981632963895,0.145869005311841,0.415921980307807,0.357857990777298,0.27132510560624,0.345462301060167,0.412614371167259,0.101177980632305,0.233343507020011,"Chiroptera",0.000337040557938443,0.00182301749902811,0,0,0,1,"Ar",2,0,7148.61472923735,1,1,3650,574.375474694876,0.3881873959542,0.75,0.000432011611393311,0.375216005805697,0.371536645963545,0.0915382794328039,"Very high"
"Acerodon leucotis","VU",0.000151216395657988,0.5,0.930959413840724,0.593671963170537,0.729114788639912,0.50354581260189,0.064864906434134,0.135976764222149,NA,0.253947010931353,0.218477957107481,NA,0.311696178111653,0.0753489091808323,0.0967420930494295,"Chiroptera",0.000108788879675875,0.000830575816101038,0,0,0,1,"Ar",2,0,3998.00164581447,1.06635571428572,1.94973,1460,896.564500997188,0.351411922652389,0.5,0.000187872939155383,0.250093936469578,0.320640326493329,0.0597061981912983,"High"
"Acerodon mackloti","VU",0.000885107142667425,0.875,0.621946780589667,0.619915786071319,0.714221452048009,0.509513394632445,0.0839327520992581,0.139149682658714,0.38575492129902,0.25981825566266,0.271167475497048,0.326295768740772,0.386517583468609,0.115087465050967,0.288247857192467,"Chiroptera",0.00014477026591409,0.000981483836981597,0,0,0.142857142857143,1,"Ar",2,0,4720.9023957913,0.98,1.630305,1825,789.75291329292,0.369628707217785,0.5,0.0287966793920077,0.264398339696004,0.380233441995154,0.0605693001219821,"High"
"Acinonyx jubatus","VU",0.284474809678799,1,0.764425468933486,0.657834759953336,0.832870553517096,0.811666637954022,0.282990488383878,0.354535524597865,0.520996856441883,0.213061892171991,0.467477049144305,0.435251693899513,0.413386471159382,0.172233633265495,0.83726107833152,"Carnivora",0.0157068875158978,0.0232174252602419,1,0,0.428571428571429,3,"G",1,0,7482.5,3.04,0.7,2190,0.0214569720825,0.499007192722327,0.5,0.293499148269514,0.396749574134757,0.61167899804186,0.0768801380404228,"High"
"Acomys cilicicus","DD",1.77212499942634e-07,0,NA,0.429664813158672,0.563393262901655,0.606105825962454,0.22368797700587,0.197144093507361,0.353340272477242,0.0934149175072389,0.366250125220682,0.435397099870291,0.389886398067758,0.0735591729543983,0.0436194978468596,"Rodentia",1.4357150749117e-05,0.000198836190875539,0.5,0.25,0.142857142857143,2,"G",1,0,1460,2.75122166666666,3.22234,605.532370258592,1415.79057823083,0.365828478567923,NA,0.178614067239754,0.178614067239754,0.0292947120034395,0.0634279341026676,"High"
"Acomys dimidiatus","LC",0.0184824668337935,1,0.638987102206784,0.706054058031156,0.801823723849001,0.823121482041481,0.21484102055182,0.269877355718952,0.535822445866779,0.307988025496786,0.475684611373646,0.449483585161792,0.523663412016675,0.173571541898735,0.455811870968117,"Rodentia",1.34875850537346e-05,0.000206371802991875,0.5,0.5,0.571428571428571,2,"G",1,0,2731.416666545,2.47,3.5,699.725381016584,3558.19529225786,0.510835972010809,0,0.314329686163323,0.157164843081662,0.457370596381486,0.0435652487729296,"High"
"Acomys nesiotes","DD",0.00010995605167584,0.75,0.879094147287944,0.652993806274228,0.770023334074021,0.606996703348384,0.223206921914358,0.263297837141129,0.545160923188487,0.200450226873807,0.428034783293363,0.495347775928757,0.449779210215073,0.093238838399332,0.178980049181382,"Rodentia",1.34875850537346e-05,0.000179671371642093,0.5,0.25,0,2,"G",1,0,2731.416666545,2.47,3.5,697.612896649795,2982.47756300113,0.463529152225161,NA,0.150038631791339,0.150038631791339,0.380284598184067,0.0430995204435262,"High"
"Acomys russatus","LC",0.00832464591159018,1,0.736228350622169,0.722172790661531,0.78946003943185,0.766981742829472,0.19983286899546,0.253533300720533,0.598657835151316,0.364588592127075,0.503499406158892,0.528190612222353,0.580821385180471,0.222014167481499,0.455811870968117,"Rodentia",1.65046674575346e-05,0.000203254117652645,1,0.5,0,2,"G",1,0,1825,2.5,3.84796,689.867110291702,2800,0.530773857347895,0,0.300043951757022,0.150021975878511,0.484475806996675,0.0410500278600139,"Medium"
"Aeretes melanopterus","LC",0.000439168113429094,0.25,0.994450698893129,0.678532303823655,0.648874730045953,0.240757861587475,0.346518987578517,0.316590331157565,0.717157397570328,0.278560293339761,0.47379935886314,0.536716649338439,0.384844553036302,0.620903002478409,0.563098564470627,"Rodentia",7.59827826620346e-05,0.000880225295871044,0,0.5,0,1,"Ar",2,0,2479.0982500314,2.639755,1.574335,1280.94170069573,223.819598294616,0.462235246634114,0,0.100191241615707,0.0500956208078533,0.485778286791119,0.0119072982652151,"Very low"
"Aeromys tephromelas","DD",0.0042959761111785,1,0.357233384174777,0.652860569265402,0.615560694472824,0.575767683978329,0.116162903256749,0.157873715058788,0.453076332936797,0.464205462797864,0.305894770962052,0.361535059731497,0.462936982733956,0.0947263100951567,0.25173144025501,"Rodentia",0.000368084053263595,0.00207427588847544,0.5,0.5,0,1,"Ar",2,0,4327.87647916855,1.035,1.574985,1954.95807679513,129.65366904158,0.416587417519426,NA,0.200488471988348,0.200488471988348,0.341597422127224,0.0549904251068936,"High"
