species,iucn_category,area_global,pa_count,pa_quality_mean,mhw_freq,mhw_total_days,mhw_max_int,mhw_mean_int,mhw_cum_int,slope_intensity,slope_freq,slope_cum,slope_max,slope_total,dem_stat,order,family,iucn_redlist_assessment,iucn_population_trend,habitat_type,microhabitat,insular_endemic_yes_or_no,maximum_body_mass_g,reproductive_mode,venomous_yes_or_no,elev_mean,elev_range,Exposure,IUCN_num,BodyMass_norm,Venomous_num,Trait_sensitivity,Sensitivity,Suitability,Risk_index,Risk_level
Ablepharus bivittatus,LC,0.001814091637067731,8,NA,0.6415110558597429,0.893732228720724,0.6639669297735453,0.49930907066242664,0.7114382401391658,0.6851337366464239,0.3485701178149676,0.6463841568157808,0.7273215740875648,0.6110920101755908,1801.51628756277,Squamata,Scincidae,Least Concern,Decreasing,Forest/Grassland/Shrubland,Saxicolous,No,4.365158322,oviparous,No,0.3631739572736521,0.48936170212765956,0.6428459120695933,0,4.419105331610885e-6,0,2.2095526658054425e-6,1.1047763329027212e-6,0.28478325034612645,5.079476146007455e-7,Very low
Ablepharus bivittatus,LC,0.001814091637067731,8,NA,0.6415110558597429,0.893732228720724,0.6639669297735453,0.49930907066242664,0.7114382401391658,0.6851337366464239,0.3485701178149676,0.6463841568157808,0.7273215740875648,0.6110920101755908,3378.48385620117,Squamata,Scincidae,Least Concern,Decreasing,Forest/Grassland/Shrubland,Saxicolous,No,4.365158322,oviparous,No,0.3631739572736521,0.48936170212765956,0.6428459120695933,0,4.419105331610885e-6,0,2.2095526658054425e-6,1.1047763329027212e-6,0.28478325034612645,5.079476146007455e-7,Very low
Ablepharus chernovi,LC,5.958509605167414e-4,3,NA,0.6972020322350537,0.8959842841147436,0.5811539385119882,0.5350430550248562,0.7478559718361694,0.6110639204132791,0.3453098885270256,0.6436760541335325,0.7235837449616672,0.606688078331654,1451.23667186625,Squamata,Scincidae,Least Concern,Stable,Forest/Grassland/Shrubland,Saxicolous/Terrestrial,No,2.951209227,oviparous,No,0.1953204476093591,0.32978723404255317,0.6387560968089969,0,2.930737601536359e-6,0,1.4653688007681796e-6,7.326844003840898e-7,0.17523451087080966,3.8599571527847384e-7,Very low
Ablepharus chernovi,LC,5.958509605167414e-4,3,NA,0.6972020322350537,0.8959842841147436,0.5811539385119882,0.5350430550248562,0.7478559718361694,0.6110639204132791,0.3453098885270256,0.6436760541335325,0.7235837449616672,0.606688078331654,3055.36556482315,Squamata,Scincidae,Least Concern,Stable,Forest/Grassland/Shrubland,Saxicolous/Terrestrial,No,2.951209227,oviparous,No,0.1953204476093591,0.32978723404255317,0.6387560968089969,0,2.930737601536359e-6,0,1.4653688007681796e-6,7.326844003840898e-7,0.17523451087080966,3.8599571527847384e-7,Very low
Ablepharus grayanus,LC,8.881921412373125e-4,6,NA,0.7145834113132782,0.7934773631431357,0.8602162221305004,0.5958418359317004,0.6800480605118872,0.2779132782636952,0.28938432571875106,0.2588876128929477,0.338851349025598,0.3196186051006009,645.651222666628,Squamata,Scincidae,Least Concern,Stable,Desert/Grassland/Rocky/Wetlands,Fossorial/Terrestrial,No,0.72443596,oviparous,No,0.3053916581892167,0.5293617021276595,0.5128822064032095,0,5.867653294685137e-7,0,2.9338266473425684e-7,1.4669133236712842e-7,0.2785471841527045,5.4278772571290906e-8,Very low
Ablepharus grayanus,LC,8.881921412373125e-4,6,NA,0.7145834113132782,0.7934773631431357,0.8602162221305004,0.5958418359317004,0.6800480605118872,0.2779132782636952,0.28938432571875106,0.2588876128929477,0.338851349025598,0.3196186051006009,2783.15622627735,Squamata,Scincidae,Least Concern,Stable,Desert/Grassland/Rocky/Wetlands,Fossorial/Terrestrial,No,0.72443596,oviparous,No,0.3053916581892167,0.5293617021276595,0.5128822064032095,0,5.867653294685137e-7,0,2.9338266473425684e-7,1.4669133236712842e-7,0.2785471841527045,5.4278772571290906e-8,Very low
Ablepharus kitaibelii,LC,0.0024712790562040933,6,NA,0.7272766192309412,0.8469906077694156,0.5998958304025307,0.5827765468144089,0.7558822488813435,0.6590467857280928,0.43982119541922454,0.7150145070755345,0.793338974609599,0.6615934507776142,783.826340824449,Squamata,Scincidae,Least Concern,Stable,Forest/Grassland/Shrubland,Terrestrial,No,4.786300923,oviparous,No,0.2105798575788403,0.425531914893617,0.6781636766708705,0,4.862413410596607e-6,0,2.4312067052983036e-6,1.2156033526491518e-6,0.21286101717622047,6.489000910854336e-7,Very low
Ablepharus kitaibelii,LC,0.0024712790562040933,6,NA,0.7272766192309412,0.8469906077694156,0.5998958304025307,0.5827765468144089,0.7558822488813435,0.6590467857280928,0.43982119541922454,0.7150145070755345,0.793338974609599,0.6615934507776142,2980.76136779785,Squamata,Scincidae,Least Concern,Stable,Forest/Grassland/Shrubland,Terrestrial,No,4.786300923,oviparous,No,0.2105798575788403,0.425531914893617,0.6781636766708705,0,4.862413410596607e-6,0,2.4312067052983036e-6,1.2156033526491518e-6,0.21286101717622047,6.489000910854336e-7,Very low
Ablepharus pannonicus,LC,0.008623733784670906,8,NA,0.6977988136777602,0.8500181958737959,0.7445926288727792,0.4760251477547513,0.6324772053163129,0.5709753223492136,0.3629310350833319,0.5658199771799128,0.6291621070392791,0.5736748394623548,1340.46635561327,Squamata,Scincidae,Least Concern,Unknown,Desert/Forest/Grassland/Rocky/Shrubland,Cryptic/Terrestrial,No,3.090295433,oviparous,No,0.3224821973550356,0.5319148936170213,0.6103475272609492,0,3.0771441599060563e-6,0,1.5385720799530281e-6,7.692860399765141e-7,0.2876736082522426,3.344599158816533e-7,Very low
Ablepharus pannonicus,LC,0.008623733784670906,8,NA,0.6977988136777602,0.8500181958737959,0.7445926288727792,0.4760251477547513,0.6324772053163129,0.5709753223492136,0.3629310350833319,0.5658199771799128,0.6291621070392791,0.5736748394623548,5641.46087265015,Squamata,Scincidae,Least Concern,Unknown,Desert/Forest/Grassland/Rocky/Shrubland,Cryptic/Terrestrial,No,3.090295433,oviparous,No,0.3224821973550356,0.5319148936170213,0.6103475272609492,0,3.0771441599060563e-6,0,1.5385720799530281e-6,7.692860399765141e-7,0.2876736082522426,3.344599158816533e-7,Very low
